plantă vegetală
înec potop
potop înec
închisoare penitenciar
penitenciar închisoare
ecran monitor
monitor ecran
crăpătură fantă
fantă crăpătură
condiție stipulare
stipulare condiție
echilibru uniformitate
uniformitate echilibru
foaie hârtie
foaie coală
hârtie foaie
hârtie coală
coală foaie
coală hârtie
schimb înlocuire
schimb substituire
înlocuire schimb
înlocuire substituire
substituire schimb
substituire înlocuire
posesiune proprietate
posesiune stăpânire
proprietate posesiune
proprietate stăpânire
stăpânire posesiune
stăpânire proprietate
importanță însemnătate
însemnătate importanță
minunare stupefiere
minunare uimire
minunare uluială
minunare uluire
stupefiere minunare
stupefiere uimire
stupefiere uluială
stupefiere uluire
uimire minunare
uimire stupefiere
uimire uluială
uimire uluire
uluială minunare
uluială stupefiere
uluială uimire
uluială uluire
uluire minunare
uluire stupefiere
uluire uimire
uluire uluială
reverie vis
vis reverie
îngăduință permisiune
îngăduință voie
permisiune îngăduință
permisiune voie
voie îngăduință
voie permisiune
frig răceală
răceală frig
schemă schiță
schiță schemă
nivel treaptă
nivel grad
treaptă nivel
treaptă grad
grad nivel
grad treaptă
zero nimic
nimic zero
schimb tură
tură schimb
îmbrățișare înlănțuire
înlănțuire îmbrățișare
circumspecție precauție
circumspecție luare-aminte
precauție circumspecție
precauție luare-aminte
luare-aminte circumspecție
luare-aminte precauție
ratificare ratificație
ratificație ratificare
derapaj derapare
derapare derapaj
tub țeavă
țeavă tub
cale drum
drum cale
traversare trecere
trecere traversare
direcție linie
direcție cale
linie direcție
linie cale
cale direcție
cale linie
frustrare frustrație
frustrație frustrare
arie compartiment
arie domeniu
arie sector
arie sferă
compartiment arie
compartiment domeniu
compartiment sector
compartiment sferă
domeniu arie
domeniu compartiment
domeniu sector
domeniu sferă
sector arie
sector compartiment
sector domeniu
sector sferă
sferă arie
sferă compartiment
sferă domeniu
sferă sector
energie putere
energie vigoare
putere energie
putere vigoare
vigoare energie
vigoare putere
intemperanță necumpătare
necumpătare intemperanță
individ om
individ persoană
om individ
om persoană
persoană individ
persoană om
iarbă verdeață
verdeață iarbă
urlet zbieret
zbieret urlet
lopată ramă
ramă lopată
depunere sedimentare
depunere sedimentație
sedimentare depunere
sedimentare sedimentație
sedimentație depunere
sedimentație sedimentare
îndeplinire implementare
îndeplinire aplicare
implementare îndeplinire
implementare aplicare
aplicare îndeplinire
aplicare implementare
malițiozitate maliție
maliție malițiozitate
confesiune mărturisire
confesiune spovedanie
mărturisire confesiune
mărturisire spovedanie
spovedanie confesiune
spovedanie mărturisire
dispoziție stare
dispoziție situație
stare dispoziție
stare situație
situație dispoziție
situație stare
înlocuire substituire
înlocuire substituție
substituire înlocuire
substituire substituție
substituție înlocuire
substituție substituire
ropot izbucnire
izbucnire ropot
cherestea lemnărie
lemnărie cherestea
depozit sediment
sediment depozit
limbuție vorbărie
limbuție verbozitate
vorbărie limbuție
vorbărie verbozitate
verbozitate limbuție
verbozitate vorbărie
armoarii blazon
armoarii stemă
blazon armoarii
blazon stemă
stemă armoarii
stemă blazon
afișier avizier
afișier panou
avizier afișier
avizier panou
panou afișier
panou avizier
linșaj linșare
linșare linșaj
dezacord opoziție
opoziție dezacord
pedepsire penalizare
pedepsire sancționare
penalizare pedepsire
penalizare sancționare
sancționare pedepsire
sancționare penalizare
extorcare extorsiune
extorcare jecmăneală
extorsiune extorcare
extorsiune jecmăneală
jecmăneală extorcare
jecmăneală extorsiune
răsturnare inversare
inversare răsturnare
națiune nație
nație națiune
alianță coaliție
coaliție alianță
jurisprudență practică
practică jurisprudență
înfățișare prezentare
prezentare înfățișare
nealiniere neangajare
neangajare nealiniere
percheziție percheziționare
percheziționare percheziție
aresta ridica
aresta reține
ridica aresta
ridica reține
reține aresta
reține ridica
independență neatârnare
neatârnare independență
serviciu slujbă
slujbă serviciu
condamna osândi
condamna pedepsi
osândi condamna
osândi pedepsi
pedepsi condamna
pedepsi osândi
angaja [-și] lua
[-și] lua angaja
recuza respinge
respinge recuza
urmări da
da urmări
proroga amâna
amâna proroga
aliere asociere
asociere aliere
urgență necesitate
necesitate urgență
sprijin suport
suport sprijin
neimplicare neparticipare
neparticipare neimplicare
guverna conduce
conduce guverna
celebrare oficiere
oficiere celebrare
reprezentare tutelă
tutelă reprezentare
angajare implicare
implicare angajare
cutumă obicei
obicei cutumă
floră vegetație
vegetație floră
vătămare rănire
rănire vătămare
permis liber
liber permis
uniune confederație
confederație uniune
funcție post
funcție serviciu
funcție slujbă
post funcție
post serviciu
post slujbă
serviciu funcție
serviciu post
serviciu slujbă
slujbă funcție
slujbă post
slujbă serviciu
sarcină obligație
sarcină proiect
obligație sarcină
obligație proiect
proiect sarcină
proiect obligație
excizie extirpare
excizie extirpație
extirpare excizie
extirpare extirpație
extirpație excizie
extirpație extirpare
omisiune scăpare
scăpare omisiune
adăpost refugiu
refugiu adăpost
daună prejudiciu
prejudiciu daună
flegmă impasibilitate
flegmă indiferență
flegmă nepăsare
impasibilitate flegmă
impasibilitate indiferență
impasibilitate nepăsare
indiferență flegmă
indiferență impasibilitate
indiferență nepăsare
nepăsare flegmă
nepăsare impasibilitate
nepăsare indiferență
exprimare vorbire
exprimare vorbit
vorbire exprimare
vorbire vorbit
vorbit exprimare
vorbit vorbire
modificare prefacere
modificare preschimbare
modificare transformare
modificare tranziție
prefacere modificare
prefacere preschimbare
prefacere transformare
prefacere tranziție
preschimbare modificare
preschimbare prefacere
preschimbare transformare
preschimbare tranziție
transformare modificare
transformare prefacere
transformare preschimbare
transformare tranziție
tranziție modificare
tranziție prefacere
tranziție preschimbare
tranziție transformare
perioadă răstimp
răstimp perioadă
consiliu ședință
consiliu sfat
consiliu consfătuire
ședință consiliu
ședință sfat
ședință consfătuire
sfat consiliu
sfat ședință
sfat consfătuire
consfătuire consiliu
consfătuire ședință
consfătuire sfat
tutun tabac
tabac tutun
insultare jignire
insultare ofensare
jignire insultare
jignire ofensare
ofensare insultare
ofensare jignire
crăpătură fisură
crăpătură spintecătură
fisură crăpătură
fisură spintecătură
spintecătură crăpătură
spintecătură fisură
insuportabil nesuferit
nesuferit insuportabil
confirmare permis
permis confirmare
denunț denunțare
denunțare denunț
avansare înaintare
înaintare avansare
cetate fortăreață
fortăreață cetate
contur profil
profil contur
exprimare rostire
rostire exprimare
taxa impune
impune taxa
priveliște vedere
vedere priveliște
înțelege pricepe
înțelege pătrunde
pricepe înțelege
pricepe pătrunde
pătrunde înțelege
pătrunde pricepe
înșela minți
minți înșela
striga vesti
striga anunța
striga proclama
vesti striga
vesti anunța
vesti proclama
anunța striga
anunța vesti
anunța proclama
proclama striga
proclama vesti
proclama anunța
închipuire fantezie
închipuire ficțiune
închipuire imaginație
fantezie închipuire
fantezie ficțiune
fantezie imaginație
ficțiune închipuire
ficțiune fantezie
ficțiune imaginație
imaginație închipuire
imaginație fantezie
imaginație ficțiune
zvâcnet zvâcnire
zvâcnire zvâcnet
incita gâdila
gâdila incita
necesitate nevoie
necesitate trebuință
nevoie necesitate
nevoie trebuință
trebuință necesitate
trebuință nevoie
acuitate agerime
acuitate ascuțime
agerime acuitate
agerime ascuțime
ascuțime acuitate
ascuțime agerime
considerație stimă
considerație respect
stimă considerație
stimă respect
respect considerație
respect stimă
ieși duce
ieși conduce
duce ieși
duce conduce
conduce ieși
conduce duce
asociație afiliație
asociație afiliere
afiliație asociație
afiliație afiliere
afiliere asociație
afiliere afiliație
dârzenie încăpățânare
dârzenie îndărătnicie
dârzenie perseverență
dârzenie stăruință
dârzenie tenacitate
încăpățânare dârzenie
încăpățânare îndărătnicie
încăpățânare perseverență
încăpățânare stăruință
încăpățânare tenacitate
îndărătnicie dârzenie
îndărătnicie încăpățânare
îndărătnicie perseverență
îndărătnicie stăruință
îndărătnicie tenacitate
perseverență dârzenie
perseverență încăpățânare
perseverență îndărătnicie
perseverență stăruință
perseverență tenacitate
stăruință dârzenie
stăruință încăpățânare
stăruință îndărătnicie
stăruință perseverență
stăruință tenacitate
tenacitate dârzenie
tenacitate încăpățânare
tenacitate îndărătnicie
tenacitate perseverență
tenacitate stăruință
lovire izbitură
izbitură lovire
agilitate iuțeală
agilitate sprinteneală
iuțeală agilitate
iuțeală sprinteneală
sprinteneală agilitate
sprinteneală iuțeală
delimita mărgini
mărgini delimita
complota conspira
complota unelti
conspira complota
conspira unelti
unelti complota
unelti conspira
conduce duce
duce conduce
înșelare adulter
înșelare infidelitate
adulter înșelare
adulter infidelitate
infidelitate înșelare
infidelitate adulter
interpreta juca
juca interpreta
dumnezeu atotputernic
dumnezeu creator
dumnezeu divinitate
dumnezeu domn
dumnezeu dumnezeire
dumnezeu părinte
atotputernic dumnezeu
atotputernic creator
atotputernic divinitate
atotputernic domn
atotputernic dumnezeire
atotputernic părinte
creator dumnezeu
creator atotputernic
creator divinitate
creator domn
creator dumnezeire
creator părinte
divinitate dumnezeu
divinitate atotputernic
divinitate creator
divinitate domn
divinitate dumnezeire
divinitate părinte
domn dumnezeu
domn atotputernic
domn creator
domn divinitate
domn dumnezeire
domn părinte
dumnezeire dumnezeu
dumnezeire atotputernic
dumnezeire creator
dumnezeire divinitate
dumnezeire domn
dumnezeire părinte
părinte dumnezeu
părinte atotputernic
părinte creator
părinte divinitate
părinte domn
părinte dumnezeire
comunicație legătură
legătură comunicație
legătură conexiune
conexiune legătură
comandă ordin
comandă poruncă
ordin comandă
ordin poruncă
poruncă comandă
poruncă ordin
clauză condiție
clauză stipulație
condiție clauză
condiție stipulație
stipulație clauză
stipulație condiție
împușca trage
trage împușca
înflorire progres
progres înflorire
adăpost refugiu
refugiu adăpost
noutate originalitate
originalitate noutate
ablațiune exereză
ablațiune extirpare
ablațiune excizie
exereză ablațiune
exereză extirpare
exereză excizie
extirpare ablațiune
extirpare exereză
extirpare excizie
excizie ablațiune
excizie exereză
excizie extirpare
învoială ințelegere
învoială acord
ințelegere învoială
ințelegere acord
acord învoială
acord ințelegere
realizare performanță
performanță realizare
ansamblu tot
ansamblu totalitate
ansamblu întreg
tot ansamblu
tot totalitate
tot întreg
totalitate ansamblu
totalitate tot
totalitate întreg
întreg ansamblu
întreg tot
întreg totalitate
castitate feciorie
castitate virginitate
feciorie castitate
feciorie virginitate
virginitate castitate
virginitate feciorie
ascuțiș vârf
vârf ascuțiș
întruchipa juca
întruchipa fi
juca întruchipa
juca fi
fi întruchipa
fi juca
avans înaintare
avans progres
înaintare avans
înaintare progres
progres avans
progres înaintare
linie fir
fir linie
copie duplicat
duplicat copie
atmosferă văzduh
atmosferă aer
văzduh atmosferă
văzduh aer
aer atmosferă
aer văzduh
conjura conspira
conjura unelti
conjura urzi
conspira conjura
conspira unelti
conspira urzi
unelti conjura
unelti conspira
unelti urzi
urzi conjura
urzi conspira
urzi unelti
cocoloș hap
hap cocoloș
legăna hâțâna
legăna balansa
hâțâna legăna
hâțâna balansa
balansa legăna
balansa hâțâna
chestie clenci
clenci chestie
intimitate apropiere
apropiere intimitate
alinare calmare
alinare domolire
alinare liniștire
alinare temperare
alinare ușurare
calmare alinare
calmare domolire
calmare liniștire
calmare temperare
calmare ușurare
domolire alinare
domolire calmare
domolire liniștire
domolire temperare
domolire ușurare
liniștire alinare
liniștire calmare
liniștire domolire
liniștire temperare
liniștire ușurare
temperare alinare
temperare calmare
temperare domolire
temperare liniștire
temperare ușurare
ușurare alinare
ușurare calmare
ușurare domolire
ușurare liniștire
ușurare temperare
amăgire iluzionare
amăgire înșelare
iluzionare amăgire
iluzionare înșelare
înșelare amăgire
înșelare iluzionare
exil exilare
exil pribegie
exil surghiun
exil surghiunire
exil deportare
exilare exil
exilare pribegie
exilare surghiun
exilare surghiunire
exilare deportare
pribegie exil
pribegie exilare
pribegie surghiun
pribegie surghiunire
pribegie deportare
surghiun exil
surghiun exilare
surghiun pribegie
surghiun surghiunire
surghiun deportare
surghiunire exil
surghiunire exilare
surghiunire pribegie
surghiunire surghiun
surghiunire deportare
deportare exil
deportare exilare
deportare pribegie
deportare surghiun
deportare surghiunire
început debut
debut început
strat film
film strat
castitate feciorie
castitate virginitate
castitate celibat
feciorie castitate
feciorie virginitate
feciorie celibat
virginitate castitate
virginitate feciorie
virginitate celibat
celibat castitate
celibat feciorie
celibat virginitate
scăpa scoate
scoate scăpa
câmp fond
fond câmp
antipatic dezagreabil
antipatic neplăcut
antipatic nesuferit
antipatic respingător
antipatic scârbos
dezagreabil antipatic
dezagreabil neplăcut
dezagreabil nesuferit
dezagreabil respingător
dezagreabil scârbos
neplăcut antipatic
neplăcut dezagreabil
neplăcut nesuferit
neplăcut respingător
neplăcut scârbos
nesuferit antipatic
nesuferit dezagreabil
nesuferit neplăcut
nesuferit respingător
nesuferit scârbos
respingător antipatic
respingător dezagreabil
respingător neplăcut
respingător nesuferit
respingător scârbos
scârbos antipatic
scârbos dezagreabil
scârbos neplăcut
scârbos nesuferit
scârbos respingător
raport situație
raport proces-verbal
situație raport
situație proces-verbal
proces-verbal raport
proces-verbal situație
modificare schimbare
modificare variație
schimbare modificare
schimbare variație
variație modificare
variație schimbare
argument motiv
argument raționament
motiv argument
motiv raționament
raționament argument
raționament motiv
faimă popularitate
popularitate faimă
deportare surghiun
surghiun deportare
întreba interesa
interesa întreba
strălucire scânteiere
strălucire sclipire
scânteiere strălucire
scânteiere sclipire
sclipire strălucire
sclipire scânteiere
agitație tulburare
agitație surescitare
tulburare agitație
tulburare surescitare
surescitare agitație
surescitare tulburare
concomitență simultaneitate
concomitență sincronism
simultaneitate concomitență
simultaneitate sincronism
sincronism concomitență
sincronism simultaneitate
ține da
da ține
cer slavă
slavă cer
incita excita
incita stimula
incita ațâța
excita incita
excita stimula
excita ațâța
stimula incita
stimula excita
stimula ațâța
ațâța incita
ațâța excita
ațâța stimula
devotament atașament
atașament devotament
necesitate nevoie
necesitate trebuință
nevoie necesitate
nevoie trebuință
trebuință necesitate
trebuință nevoie
calm cumpăt
calm stăpânire
calm calmitate
cumpăt calm
cumpăt stăpânire
cumpăt calmitate
stăpânire calm
stăpânire cumpăt
stăpânire calmitate
calmitate calm
calmitate cumpăt
calmitate stăpânire
instituție așezământ
așezământ instituție
sarcină îndatorire
îndatorire sarcină
compartiment despărțitură
despărțitură compartiment
metodă procedeu
metodă sistem
procedeu metodă
procedeu sistem
sistem metodă
sistem procedeu
dezvoltare evoluție
evoluție dezvoltare
dificultate impas
dificultate încurcătură
impas dificultate
impas încurcătură
încurcătură dificultate
încurcătură impas
acuzare procuror
procuror acuzare
instituție organizație
organizație instituție
denunța pârî
denunța spune
pârî denunța
pârî spune
spune denunța
spune pârî
cerință necesitate
cerință nevoie
cerință trebuință
necesitate cerință
necesitate nevoie
necesitate trebuință
nevoie cerință
nevoie necesitate
nevoie trebuință
trebuință cerință
trebuință necesitate
trebuință nevoie
fel regim
regim fel
transmite trimite
trimite transmite
camarad coleg
camarad tovarăș
coleg camarad
coleg tovarăș
tovarăș camarad
tovarăș coleg
mulțime droaie
droaie mulțime
debut început
debut deschidere
început debut
început deschidere
deschidere debut
deschidere început
rasă soi
soi rasă
creștere dezvoltare
creștere mărire
dezvoltare creștere
dezvoltare mărire
mărire creștere
mărire dezvoltare
răsunet sunet
sunet răsunet
bubui detuna
bubui trăsni
detuna bubui
detuna trăsni
trăsni bubui
trăsni detuna
plângere acuză
plângere acuzare
acuză plângere
acuză acuzare
acuzare plângere
acuzare acuză
fixa imobiliza
fixa înțepeni
fixa prinde
imobiliza fixa
imobiliza înțepeni
imobiliza prinde
înțepeni fixa
înțepeni imobiliza
înțepeni prinde
prinde fixa
prinde imobiliza
prinde înțepeni
opacitate transluciditate
transluciditate opacitate
abolire desființare
desființare abolire
divinitate dumnezeu
divinitate idol
divinitate zeitate
divinitate zeu
dumnezeu divinitate
dumnezeu idol
dumnezeu zeitate
dumnezeu zeu
idol divinitate
idol dumnezeu
idol zeitate
idol zeu
zeitate divinitate
zeitate dumnezeu
zeitate idol
zeitate zeu
zeu divinitate
zeu dumnezeu
zeu idol
zeu zeitate
acuratețe precizie
precizie acuratețe
bubă leziune
bubă plagă
bubă rană
leziune bubă
leziune plagă
leziune rană
plagă bubă
plagă leziune
plagă rană
rană bubă
rană leziune
rană plagă
continuitate persistență
persistență continuitate
ceartă discuție
ceartă controversă
ceartă dispută
discuție ceartă
discuție controversă
discuție dispută
controversă ceartă
controversă discuție
controversă dispută
dispută ceartă
dispută discuție
dispută controversă
considerare considerație
considerație considerare
model exemplu
model pildă
exemplu model
exemplu pildă
pildă model
pildă exemplu
model tipar
model prototip
tipar model
tipar prototip
prototip model
prototip tipar
complota conspira
complota unelti
conspira complota
conspira unelti
unelti complota
unelti conspira
bubui detuna
detuna bubui
afiliație afiliere
afiliere afiliație
neliniște tulburare
tulburare neliniște
afacere tranzacție
tranzacție afacere
mărime măsură
mărime talie
măsură mărime
măsură talie
talie mărime
talie măsură
defilare paradă
paradă defilare
calculator computer
calculator ordinator
calculator pc
computer calculator
computer ordinator
computer pc
ordinator calculator
ordinator computer
ordinator pc
pc calculator
pc computer
pc ordinator
înclinație tendință
tendință înclinație
împuternicire autorizație
împuternicire mandat
împuternicire procură
autorizație împuternicire
autorizație mandat
autorizație procură
mandat împuternicire
mandat autorizație
mandat procură
procură împuternicire
procură autorizație
procură mandat
debarcader dană
debarcader ancoraj
dană debarcader
dană ancoraj
ancoraj debarcader
ancoraj dană
dori urmări
dori intenționa
urmări dori
urmări intenționa
intenționa dori
intenționa urmări
adânci afunda
adânci cufunda
adânci înfunda
afunda adânci
afunda cufunda
afunda înfunda
cufunda adânci
cufunda afunda
cufunda înfunda
înfunda adânci
înfunda afunda
înfunda cufunda
cerere petiție
petiție cerere
face rezulta
rezulta face
program aplicație
aplicație program
camarad frate
camarad tovarăș
frate camarad
frate tovarăș
tovarăș camarad
tovarăș frate
impertinență insolență
impertinență obrăznicie
insolență impertinență
insolență obrăznicie
obrăznicie impertinență
obrăznicie insolență
bază fundament
bază fundație
bază temelie
fundament bază
fundament fundație
fundament temelie
fundație bază
fundație fundament
fundație temelie
temelie bază
temelie fundament
temelie fundație
calmare temperare
temperare calmare
atenție grijă
atenție interes
atenție preocupare
grijă atenție
grijă interes
grijă preocupare
interes atenție
interes grijă
interes preocupare
preocupare atenție
preocupare grijă
preocupare interes
denunța pârî
denunța reclama
denunța spune
pârî denunța
pârî reclama
pârî spune
reclama denunța
reclama pârî
reclama spune
spune denunța
spune pârî
spune reclama
reprezenta apăra
apăra reprezenta
alianță confederație
alianță asociație
confederație alianță
confederație asociație
asociație alianță
asociație confederație
cetate fortăreață
fortăreață cetate
credință devotament
credință fidelitate
credință statornicie
devotament credință
devotament fidelitate
devotament statornicie
fidelitate credință
fidelitate devotament
fidelitate statornicie
statornicie credință
statornicie devotament
statornicie fidelitate
proliferare proliferație
proliferație proliferare
concediere disponibilizare
disponibilizare concediere
jefui prăda
prăda jefui
cod program
cod script
program cod
program script
script cod
script program
domiciliu locuință
domiciliu sălaș
locuință domiciliu
locuință sălaș
sălaș domiciliu
sălaș locuință
datorie obligație
obligație datorie
calculator computer
calculator ordinator
computer calculator
computer ordinator
ordinator calculator
ordinator computer
preface modifica
modifica preface
absorbi înghiți
absorbi trage
înghiți absorbi
înghiți trage
trage absorbi
trage înghiți
țâșni izbucni
izbucni țâșni
cerere memoriu
cerere petiție
memoriu cerere
memoriu petiție
petiție cerere
petiție memoriu
extras fragment
extras pasaj
fragment extras
fragment pasaj
pasaj extras
pasaj fragment
lucru chestiune
chestiune lucru
pătrunde penetra
pătrunde străpunge
penetra pătrunde
penetra străpunge
străpunge pătrunde
străpunge penetra
risipire irosire
irosire risipire
talie statură
talie înălțime
statură talie
statură înălțime
înălțime talie
înălțime statură
răstimp timp
răstimp vreme
timp răstimp
timp vreme
vreme răstimp
vreme timp
perioadă răstimp
perioadă timp
răstimp perioadă
răstimp timp
timp perioadă
timp răstimp
intra pătrunde
pătrunde intra
folos avantaj
avantaj folos
mic mititel
mititel mic
îndruma consilia
îndruma povățui
îndruma sfătui
consilia îndruma
consilia povățui
consilia sfătui
povățui îndruma
povățui consilia
povățui sfătui
sfătui îndruma
sfătui consilia
sfătui povățui
dificultate problemă
problemă dificultate
introducere prefață
prefață introducere
strânge aduna
aduna strânge
problemă necaz
necaz problemă
mustrare remușcare
remușcare mustrare
calomnie defăimare
defăimare calomnie
pariu prinsoare
pariu rămășag
prinsoare pariu
prinsoare rămășag
rămășag pariu
rămășag prinsoare
răzbate răzbi
răzbate străbate
răzbate străpunge
răzbate trece
răzbi răzbate
răzbi străbate
răzbi străpunge
răzbi trece
străbate răzbate
străbate răzbi
străbate străpunge
străbate trece
străpunge răzbate
străpunge răzbi
străpunge străbate
străpunge trece
trece răzbate
trece răzbi
trece străbate
trece străpunge
haplea mâncău
mâncău haplea
tresări zvâcni
zvâcni tresări
copia plagia
plagia copia
notificare notificație
notificație notificare
cantitate mărime
cantitate măsură
cantitate câtime
mărime cantitate
mărime măsură
mărime câtime
măsură cantitate
măsură mărime
măsură câtime
câtime cantitate
câtime mărime
câtime măsură
bocitoare jeluitoare
jeluitoare bocitoare
izgoni alunga
alunga izgoni
disensiune conflict
disensiune dezacord
disensiune neînțelegere
conflict disensiune
conflict dezacord
conflict neînțelegere
dezacord disensiune
dezacord conflict
dezacord neînțelegere
neînțelegere disensiune
neînțelegere conflict
neînțelegere dezacord
stabili statornici
statornici stabili
mic mititel
mititel mic
aur galben
aur cocoșel
galben aur
galben cocoșel
cocoșel aur
cocoșel galben
transfera muta
transfera trimite
transfera duce
muta transfera
muta trimite
muta duce
trimite transfera
trimite muta
trimite duce
duce transfera
duce muta
duce trimite
chestiune problemă
chestiune subiect
chestiune temă
problemă chestiune
problemă subiect
problemă temă
subiect chestiune
subiect problemă
subiect temă
temă chestiune
temă problemă
temă subiect
dovadă probă
dovadă semn
probă dovadă
probă semn
semn dovadă
semn probă
notificare notificație
notificație notificare
naștere procreare
naștere procreație
procreare naștere
procreare procreație
procreație naștere
procreație procreare
ostilitate pornire
ostilitate antagonism
pornire ostilitate
pornire antagonism
antagonism ostilitate
antagonism pornire
asociat părtaș
părtaș asociat
străpunge sfredeli
sfredeli străpunge
tresări zvâcni
tresări sări
zvâcni tresări
zvâcni sări
sări tresări
sări zvâcni
critică observație
observație critică
decret ordin
ordin decret
potrivnicie vrăjmășie
vrăjmășie potrivnicie
liber pauză
pauză liber
dovadă mărturie
dovadă probă
mărturie dovadă
mărturie probă
probă dovadă
probă mărturie
chestiune problemă
chestiune subiect
problemă chestiune
problemă subiect
subiect chestiune
subiect problemă
avers față
față avers
credință gând
credință impresie
credință opinie
credință părere
credință sentiment
credință senzație
gând credință
gând impresie
gând opinie
gând părere
gând sentiment
gând senzație
impresie credință
impresie gând
impresie opinie
impresie părere
impresie sentiment
impresie senzație
opinie credință
opinie gând
opinie impresie
opinie părere
opinie sentiment
opinie senzație
părere credință
părere gând
părere impresie
părere opinie
părere sentiment
părere senzație
sentiment credință
sentiment gând
sentiment impresie
sentiment opinie
sentiment părere
sentiment senzație
senzație credință
senzație gând
senzație impresie
senzație opinie
senzație părere
senzație sentiment
părtaș complice
complice părtaș
modificare prefacere
modificare schimbare
modificare transformare
modificare metamorfoză
prefacere modificare
prefacere schimbare
prefacere transformare
prefacere metamorfoză
schimbare modificare
schimbare prefacere
schimbare transformare
schimbare metamorfoză
transformare modificare
transformare prefacere
transformare schimbare
transformare metamorfoză
metamorfoză modificare
metamorfoză prefacere
metamorfoză schimbare
metamorfoză transformare
efect impresie
impresie efect
lăsa permite
lăsa da
permite lăsa
permite da
da lăsa
da permite
elev învățăcel
elev ucenic
învățăcel elev
învățăcel ucenic
ucenic elev
ucenic învățăcel
gazon peluză
peluză gazon
bucată crâmpei
bucată frântură
bucată fracțiune
bucată fragment
bucată parte
bucată porțiune
crâmpei bucată
crâmpei frântură
crâmpei fracțiune
crâmpei fragment
crâmpei parte
crâmpei porțiune
frântură bucată
frântură crâmpei
frântură fracțiune
frântură fragment
frântură parte
frântură porțiune
fracțiune bucată
fracțiune crâmpei
fracțiune frântură
fracțiune fragment
fracțiune parte
fracțiune porțiune
fragment bucată
fragment crâmpei
fragment frântură
fragment fracțiune
fragment parte
fragment porțiune
parte bucată
parte crâmpei
parte frântură
parte fracțiune
parte fragment
parte porțiune
porțiune bucată
porțiune crâmpei
porțiune frântură
porțiune fracțiune
porțiune fragment
porțiune parte
prosperitate succes
succes prosperitate
invita pofti
invita chema
pofti invita
pofti chema
chema invita
chema pofti
apăra susține
susține apăra
mimică mină
mină mimică
da face
da determina
da convinge
face da
face determina
face convinge
determina da
determina face
determina convinge
convinge da
convinge face
convinge determina
cantitate câtime
câtime cantitate
adept discipol
adept partizan
adept susținător
discipol adept
discipol partizan
discipol susținător
partizan adept
partizan discipol
partizan susținător
susținător adept
susținător discipol
susținător partizan
sătean țăran
țăran sătean
cauză pricină
cauză motiv
pricină cauză
pricină motiv
motiv cauză
motiv pricină
crâmpei fragment
crâmpei frântură
crâmpei parte
fragment crâmpei
fragment frântură
fragment parte
frântură crâmpei
frântură fragment
frântură parte
parte crâmpei
parte fragment
parte frântură
brandy rachiu
rachiu brandy
decizie hotărâre
decizie dispoziție
hotărâre decizie
hotărâre dispoziție
dispoziție decizie
dispoziție hotărâre
deschidere inaugurare
inaugurare deschidere
atitudine postură
atitudine poziție
postură atitudine
postură poziție
poziție atitudine
poziție postură
clădire construcție
clădire zidire
construcție clădire
construcție zidire
zidire clădire
zidire construcție
poziție post
post poziție
cantitate necesar
necesar cantitate
expresie exprimare
exprimare expresie
dârzenie încăpățânare
dârzenie îndărătnicie
încăpățânare dârzenie
încăpățânare îndărătnicie
îndărătnicie dârzenie
îndărătnicie încăpățânare
celebritate faimă
celebritate glorie
celebritate prestigiu
celebritate renume
celebritate reputație
faimă celebritate
faimă glorie
faimă prestigiu
faimă renume
faimă reputație
glorie celebritate
glorie faimă
glorie prestigiu
glorie renume
glorie reputație
prestigiu celebritate
prestigiu faimă
prestigiu glorie
prestigiu renume
prestigiu reputație
renume celebritate
renume faimă
renume glorie
renume prestigiu
renume reputație
reputație celebritate
reputație faimă
reputație glorie
reputație prestigiu
reputație renume
faimă renume
faimă reputație
renume faimă
renume reputație
reputație faimă
reputație renume
sprijini susține
sprijini ține
susține sprijini
susține ține
ține sprijini
ține susține
avea suferi
avea cunoaște
suferi avea
suferi cunoaște
cunoaște avea
cunoaște suferi
recăpăta recâștiga
recăpăta recupera
recâștiga recăpăta
recâștiga recupera
recupera recăpăta
recupera recâștiga
îndura suferi
îndura suporta
îndura trage
suferi îndura
suferi suporta
suferi trage
suporta îndura
suporta suferi
suporta trage
trage îndura
trage suferi
trage suporta
îndura suferi
îndura suporta
suferi îndura
suferi suporta
suporta îndura
suporta suferi
ostropel ostropăț
ostropel ostropeț
ostropăț ostropel
ostropăț ostropeț
ostropeț ostropel
ostropeț ostropăț
întreba interesa
interesa întreba
coborî scoborî
scoborî coborî
avea deține
avea poseda
avea stăpâni
deține avea
deține poseda
deține stăpâni
poseda avea
poseda deține
poseda stăpâni
stăpâni avea
stăpâni deține
stăpâni poseda
întreține menține
întreține păstra
menține întreține
menține păstra
păstra întreține
păstra menține
avea purta
purta avea
deștepta scula
deștepta trezi
scula deștepta
scula trezi
trezi deștepta
trezi scula
însămânța fertiliza
fertiliza însămânța
hămăi lătra
lătra hămăi
deschide opera
opera deschide
crește prăsi
prăsi crește
abdica renunța
renunța abdica
lucra munci
munci lucra
trece trăi
trăi trece
defeca evacua
defeca căca
evacua defeca
evacua căca
căca defeca
căca evacua
opri reține
reține opri
trezi deștepta
trezi scula
deștepta trezi
deștepta scula
scula trezi
scula deștepta
umple reumple
reumple umple
aplica merge
merge aplica
exploata folosi
folosi exploata
înălța ridica
ridica înălța
culca iubi
iubi culca
